HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,HS,AS,HST,AST,HC,AC,Over25,BTTS,Result
RAAL La Louviere,Cercle Brugge,2,1,2.55,3.1,2.75,8,14,3,4,1,5,1,1,2
St Truiden,Antwerp,1,0,2.05,3.4,3.6,22,5,9,1,6,4,0,0,2
Milan,Roma,1,0,2.2,3.0,3.7,17,20,8,6,7,8,0,0,2
Westerlo,Genk,0,1,2.9,4.0,2.1,17,7,1,4,4,4,0,0,0
Alaves,Espanol,2,1,2.38,3.0,3.3,13,18,4,2,1,6,1,1,2
Oud-Heverlee Leuven,Gent,4,0,2.3,3.5,2.9,10,14,4,4,0,9,1,0,2
Barcelona,Elche,3,1,1.22,6.25,12.0,17,9,5,3,6,3,1,1,2
Sampdoria,Mantova,0,1,1.91,3.4,3.9,14,8,2,2,11,6,0,0,0
Monza,Spezia,1,0,2.05,3.05,3.75,16,4,4,0,8,1,0,0,2
Paderborn,Greuther Furth,2,1,1.4,4.75,7.0,14,19,6,7,5,5,1,1,2
Bochum,Magdeburg,2,0,2.3,3.6,2.88,24,15,9,6,8,7,0,0,2
Utrecht,Nijmegen,1,0,2.15,3.6,3.25,11,16,4,5,2,2,0,0,2
Modena,Juve Stabia,3,0,1.91,3.3,4.0,9,7,6,4,3,7,1,0,2
Betis,Mallorca,3,0,1.57,4.2,5.25,15,14,8,1,4,5,1,0,2
Rennes,Strasbourg,4,1,2.25,3.6,3.0,13,20,6,2,6,5,1,1,2
Groningen,Twente,1,1,2.75,3.5,2.45,18,10,7,4,7,3,0,1,1
Heracles,Zwolle,8,2,2.4,3.5,2.8,23,7,11,4,4,2,1,1,2
Catanzaro,Venezia,2,1,3.3,3.05,2.2,7,21,5,2,2,5,1,1,2
Bari,Cesena,1,0,2.85,3.05,2.45,9,9,3,3,3,4,0,0,2
Sparta Rotterdam,AZ Alkmaar,0,1,4.1,4.1,1.75,10,20,3,14,6,9,0,0,0
